epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,686.555,1.63384,0.70861,1.48519,0.98196,0.98387,0.97935,0.46733,1.92465,0.63024,1.60803,0.000548,0.000548,0.000548
46,701.542,1.60935,0.70361,1.4798,0.99829,1,0.995,0.48496,1.8624,0.61636,1.59133,0.000515,0.000515,0.000515
47,716.192,1.62965,0.70885,1.4917,0.98109,0.98387,0.97791,0.43073,1.92283,0.64734,1.63008,0.000482,0.000482,0.000482
48,731.282,1.59176,0.69491,1.47138,0.98188,0.98387,0.98106,0.4617,1.90815,0.64593,1.61256,0.000449,0.000449,0.000449
49,747.617,1.65639,0.72307,1.52051,0.99785,1,0.995,0.46917,1.89414,0.61899,1.61948,0.000416,0.000416,0.000416
50,762.484,1.66642,0.70798,1.49484,0.98463,1,0.995,0.49596,1.86253,0.6215,1.58677,0.000383,0.000383,0.000383
51,779.329,1.62035,0.63158,1.53513,0.99789,1,0.995,0.47248,1.88581,0.62039,1.62321,0.00035,0.00035,0.00035
52,794.133,1.59266,0.61916,1.52381,0.98195,0.98387,0.98378,0.49716,1.86137,0.60756,1.57603,0.000317,0.000317,0.000317
53,808.809,1.57308,0.61324,1.52723,0.99801,1,0.995,0.50109,1.851,0.60411,1.58181,0.000284,0.000284,0.000284
54,823.649,1.54245,0.60157,1.49174,0.98218,0.98387,0.9822,0.49628,1.86054,0.60541,1.59033,0.000251,0.000251,0.000251
55,838.898,1.54698,0.60229,1.49947,0.98196,0.98387,0.98266,0.49898,1.87346,0.59936,1.59086,0.000218,0.000218,0.000218
56,853.607,1.5095,0.58818,1.47207,0.99812,1,0.995,0.49605,1.90271,0.59983,1.61217,0.000185,0.000185,0.000185
57,868.279,1.51926,0.58664,1.49344,0.99809,1,0.995,0.49976,1.88845,0.60001,1.61582,0.000152,0.000152,0.000152
58,882.774,1.55415,0.58222,1.50559,0.98182,0.98387,0.97923,0.49047,1.88266,0.59656,1.60843,0.000119,0.000119,0.000119
59,897.122,1.48593,0.57132,1.46124,0.99785,1,0.995,0.50603,1.88883,0.59759,1.6053,8.6e-05,8.6e-05,8.6e-05
60,911.517,1.48918,0.57847,1.48963,0.99792,1,0.995,0.50554,1.87954,0.60027,1.60263,5.3e-05,5.3e-05,5.3e-05
